date_time,open,high,low,close,vol
2014/6/17 15:00:00,2868,2897,2826,2854,2106
2014/6/18 15:00:00,2858,2902,2833,2896,2118
2014/6/19 15:00:00,2901,2929,2890,2901,3532
2014/6/20 15:00:00,2905,2919,2896,2908,1504
2014/6/23 15:00:00,2910,2950,2896,2910,2480
2014/6/24 15:00:00,2906,2948,2903,2939,1690
2014/6/25 15:00:00,2941,2991,2933,2987,4348
2014/6/26 15:00:00,2990,3020,2970,3004,5220
2014/6/27 15:00:00,3004,3008,2978,2987,2840
2014/6/30 15:00:00,2983,3005,2966,2991,3020
2014/7/1 15:00:00,2994,3002,2963,2977,3648
2014/7/2 15:00:00,2982,2992,2911,2965,3150
2014/7/3 15:00:00,2958,2975,2946,2962,1926
2014/7/4 15:00:00,2961,2972,2951,2960,1454
2014/7/7 15:00:00,2956,3013,2954,3012,4722
2014/7/8 15:00:00,3013,3038,2996,3001,6078
2014/7/9 15:00:00,3000,3003,2958,2958,3916
2014/7/10 15:00:00,2956,2964,2931,2937,3352
2014/7/11 15:00:00,2940,2958,2915,2919,2332
2014/7/14 15:00:00,2919,2926,2825,2904,2114
2014/7/15 15:00:00,2908,2920,2882,2900,1286
2014/7/16 15:00:00,2905,2905,2873,2880,1120
2014/7/17 15:00:00,2880,2932,2875,2912,2468
2014/7/18 15:00:00,2915,2925,2842,2866,2680
2014/7/21 15:00:00,2866,2879,2851,2863,1038
2014/7/22 15:00:00,2866,2890,2851,2880,1494
2014/7/23 15:00:00,2880,2897,2835,2873,1484
2014/7/24 15:00:00,2875,2895,2850,2876,1074
2014/7/25 15:00:00,2875,2896,2872,2892,940
2014/7/28 15:00:00,2897,2943,2862,2940,2190
2014/7/29 15:00:00,2934,2948,2925,2929,1090
2014/7/30 15:00:00,2921,2940,2903,2932,1670
2014/7/31 15:00:00,2921,2943,2915,2917,1026
2014/8/1 15:00:00,2900,2912,2881,2882,2092
2014/8/4 15:00:00,2880,2906,2875,2901,774
2014/8/5 15:00:00,2901,2919,2900,2905,1398
2014/8/6 15:00:00,2901,2901,2831,2889,886
2014/8/7 15:00:00,2884,2988,2883,2883,1760
2014/8/8 15:00:00,2883,2937,2883,2935,1812
2014/8/11 15:00:00,2932,2956,2916,2925,1646
2014/8/12 15:00:00,2910,2937,2901,2917,1504
2014/8/13 15:00:00,2936,3012,2933,2990,3748
2014/8/14 15:00:00,2989,2999,2970,2995,2270
2014/8/15 15:00:00,2988,2998,2958,2976,1888
2014/8/18 15:00:00,2975,2986,2961,2978,1748
2014/8/19 15:00:00,2974,2997,2970,2987,3178
2014/8/20 15:00:00,2987,2987,2963,2968,1612
2014/8/21 15:00:00,2972,2984,2960,2964,1466
2014/8/22 15:00:00,2963,2970,2940,2943,1548
2014/8/25 15:00:00,2942,2945,2890,2891,3472
2014/8/26 15:00:00,2882,2889,2832,2840,6566
2014/8/27 15:00:00,2840,2874,2840,2858,3486
2014/8/28 15:00:00,2859,2873,2836,2841,3270
2014/8/29 15:00:00,2841,2843,2793,2826,6506
2014/9/1 15:00:00,2825,2866,2825,2848,3408
2014/9/2 15:00:00,2851,2961,2849,2851,5460
2014/9/3 15:00:00,2848,2869,2836,2850,3438
2014/9/4 15:00:00,2855,2880,2855,2857,2484
2014/9/5 15:00:00,2864,2866,2845,2859,2252
2014/9/9 15:00:00,2862,2867,2842,2852,2104
2014/9/10 15:00:00,2843,2878,2822,2856,3892
2014/9/11 15:00:00,2856,2866,2845,2857,2234
2014/9/12 15:00:00,2853,2861,2815,2823,7346
2014/9/15 15:00:00,2811,2868,2811,2868,7180
2014/9/16 15:00:00,2878,2907,2872,2892,9474
2014/9/17 15:00:00,2912,2919,2890,2912,6290
2014/9/18 15:00:00,2910,2917,2894,2904,4290
2014/9/19 15:00:00,2902,2928,2898,2925,5026
2014/9/22 15:00:00,2926,2941,2897,2920,9234
2014/9/23 15:00:00,2920,2929,2855,2858,12350
2014/9/24 15:00:00,2858,2890,2843,2875,4788
2014/9/25 15:00:00,2873,2885,2861,2872,3262
