day,h1_vol,h1_diff,day_diff,day_high,day_low
2019/10/10,545554,41,43,2396,2353,
2019/10/11,417916,30,57,2363,2306,
2019/10/14,634698,49,49,2337,2288,
2019/10/15,354976,19,48,2311,2263,
2019/10/16,396704,28,85,2282,2197,
2019/10/17,444248,21,24,2205,2181,
2019/10/18,291166,21,30,2215,2185,
2019/10/21,623992,48,48,2187,2139,
2019/10/22,169702,12,19,2161,2142,
2019/10/23,542294,31,41,2155,2114,
2019/10/24,384002,23,31,2146,2115,
2019/10/25,252268,14,56,2133,2077,
2019/10/28,263996,15,33,2093,2060,
2019/10/29,392900,16,17,2111,2094,
2019/10/30,359100,18,43,2116,2073,
2019/10/31,206420,13,21,2108,2087,
2019/11/1,431974,21,32,2096,2064,
2019/11/4,446788,23,25,2098,2073,
2019/11/5,566226,30,33,2129,2096,
2019/11/6,371350,19,49,2120,2071,
2019/11/7,761798,34,38,2081,2043,
2019/11/8,528558,25,42,2048,2006,
2019/11/11,510974,31,62,2016,1954,
2019/11/12,341902,19,39,1976,1937,
2019/11/13,291406,17,24,1971,1947,
2019/11/14,397892,25,36,1965,1929,
2019/11/15,492558,20,31,1976,1945,
2019/11/18,406836,22,23,1973,1950,
2019/11/19,855810,23,38,1929,1891,
2019/11/20,288732,16,28,1923,1895,
2019/11/21,258106,11,23,1947,1924,
2019/11/22,545338,15,46,1980,1934,
2019/11/25,467426,22,53,2008,1955,
2019/11/26,334876,16,52,2012,1960,
2019/11/27,192454,12,28,1990,1962,
2019/11/28,511548,28,31,1967,1936,
2019/11/29,431184,23,24,1968,1944,
2019/12/2,375546,19,19,1938,1919,
2019/12/3,377758,17,19,1974,1955,
2019/12/4,284390,14,32,1998,1966,
2019/12/5,244496,14,22,2033,2011,
2019/12/6,376606,22,22,2011,1989,
2019/12/9,319504,20,39,2032,1993,
2019/12/10,133398,9,23,2023,2000,
2019/12/11,196538,15,27,1991,1964,
2019/12/12,148298,13,56,2041,1985,
2019/12/13,153060,21,26,2033,2007,
2019/12/16,371796,16,25,2138,2113,
2019/12/17,606006,24,32,2162,2130,
2019/12/18,476758,22,52,2158,2106,
2019/12/19,174374,9,25,2130,2105,
2019/12/20,297542,15,36,2157,2121,
2019/12/23,464448,21,26,2178,2152,
2019/12/24,361206,21,24,2152,2128,
2019/12/25,267264,15,37,2167,2130,
2019/12/26,258034,10,18,2174,2156,
2019/12/27,542112,27,32,2199,2167,
2019/12/30,633510,39,39,2238,2199,
2019/12/31,594984,29,46,2219,2173,
2020/1/2,263170,28,28,2206,2178,
2020/1/3,111544,12,49,2245,2196,
2020/1/6,457528,41,55,2299,2244,
2020/1/7,308679,22,29,2288,2259,
2020/1/8,601894,63,79,2384,2305,
2020/1/9,429355,48,102,2330,2228,
2020/1/10,158031,14,21,2251,2230,
2020/1/13,608090,64,83,2352,2269,
2020/1/14,268765,34,44,2378,2334,
2020/1/15,357015,33,45,2364,2319,
2020/1/16,178599,19,50,2356,2306,
2020/1/17,177089,20,62,2339,2277,
2020/1/20,298508,27,44,2344,2300,
2020/1/21,233528,29,39,2325,2286,
2020/1/22,255968,46,54,2287,2233,
2020/1/23,138461,21,39,2269,2230,
2020/2/3,292236,33,33,2132,2099,
2020/2/4,356155,70,70,2077,2007,
2020/2/5,306469,42,59,2111,2052,
2020/2/6,200798,25,34,2117,2083,
2020/2/7,197207,19,44,2136,2092,
2020/2/10,275419,33,40,2146,2106,
2020/2/11,377248,40,40,2145,2105,
2020/2/12,284671,20,64,2126,2062,
2020/2/13,372561,31,34,2106,2072,
2020/2/14,254687,24,38,2102,2064,
2020/2/17,287580,21,21,2117,2096,
2020/2/18,290650,22,37,2125,2088,
2020/2/19,284916,27,36,2124,2088,
2020/2/20,369268,19,34,2149,2115,
2020/2/21,247403,18,36,2138,2102,
2020/2/24,515655,61,61,2112,2051,
2020/2/25,270541,23,76,2131,2055,
2020/2/26,432839,24,56,2141,2085,
2020/2/27,392726,25,28,2094,2066,
2020/2/28,500791,48,71,2079,2008,
2020/3/2,437489,42,62,2064,2002,
2020/3/3,409258,27,74,2095,2021,
2020/3/4,316278,25,25,2055,2030,
2020/3/5,311385,17,31,2050,2019,
2020/3/6,325604,23,33,2037,2004,
2020/3/9,33015,0,0,1918,1918,
2020/3/10,637509,105,158,1938,1780,
2020/3/11,258504,24,57,1937,1880,
2020/3/12,509244,70,74,1885,1811,
2020/3/13,440602,41,87,1884,1797,
2020/3/16,246482,27,48,1863,1815,
2020/3/17,300708,29,31,1837,1806,
2020/3/18,239963,32,87,1835,1748,
2020/3/19,432584,62,66,1776,1710,
2020/3/20,323026,37,56,1779,1723,
2020/3/23,355163,35,48,1751,1703,
2020/3/24,274985,20,58,1764,1706,
2020/3/25,364539,35,69,1753,1684,
2020/3/26,367121,40,40,1697,1657,
2020/3/27,449800,67,85,1686,1601,
2020/3/30,429375,38,56,1601,1545,
2020/3/31,366455,44,61,1629,1568,
2020/4/1,267140,30,49,1601,1552,
2020/4/2,336724,51,108,1640,1532,
2020/4/3,455358,49,49,1660,1611,
2020/4/7,417638,34,34,1694,1660,
2020/4/8,252716,32,43,1699,1656,
2020/4/9,371218,44,81,1777,1696,
2020/4/10,320828,40,57,1782,1725,
2020/4/13,276011,63,94,1842,1748,
2020/4/14,491213,63,87,1847,1760,
2020/4/15,464216,44,59,1798,1739,
2020/4/16,503680,56,83,1806,1723,
2020/4/17,435094,32,50,1775,1725,
2020/4/20,544761,42,56,1759,1703,
2020/4/21,639954,62,90,1759,1669,
2020/4/22,610220,42,48,1680,1632,
2020/4/23,542497,38,59,1738,1679,
2020/4/24,452163,27,55,1745,1690,
2020/4/27,427990,31,31,1688,1657,
2020/4/28,418650,38,79,1715,1636,
2020/4/29,413355,31,65,1737,1672,
2020/4/30,409681,26,70,1787,1717,
2020/5/6,429281,69,73,1845,1772,
2020/5/7,192283,16,54,1804,1750,
2020/5/8,340465,23,39,1770,1731,
