day,h1_diff,day_diff,day_high,day_low,
2019/10/10,41,44,2396,2352,
2019/10/11,31,57,2363,2306,
2019/10/14,51,51,2338,2287,
2019/10/15,19,48,2311,2263,
2019/10/16,28,85,2282,2197,
2019/10/17,21,24,2205,2181,
2019/10/18,21,30,2215,2185,
2019/10/21,48,48,2187,2139,
2019/10/22,12,19,2161,2142,
2019/10/23,31,41,2155,2114,
2019/10/24,23,31,2146,2115,
2019/10/25,14,56,2133,2077,
2019/10/28,15,33,2093,2060,
2019/10/29,16,17,2111,2094,
2019/10/30,18,43,2116,2073,
2019/10/31,13,21,2108,2087,
2019/11/1,21,32,2096,2064,
2019/11/4,23,25,2098,2073,
2019/11/5,30,33,2129,2096,
2019/11/6,19,49,2120,2071,
2019/11/7,34,38,2081,2043,
2019/11/8,25,42,2048,2006,
2019/11/11,31,62,2016,1954,
2019/11/12,19,39,1976,1937,
2019/11/13,17,24,1971,1947,
2019/11/14,25,36,1965,1929,
2019/11/15,20,31,1976,1945,
2019/11/18,22,23,1973,1950,
2019/11/19,23,38,1929,1891,
2019/11/20,16,28,1923,1895,
2019/11/21,11,23,1947,1924,
2019/11/22,15,46,1980,1934,
2019/11/25,22,53,2008,1955,
2019/11/26,16,52,2012,1960,
2019/11/27,12,28,1990,1962,
2019/11/28,28,31,1967,1936,
2019/11/29,23,24,1968,1944,
2019/12/2,19,19,1938,1919,
2019/12/3,17,19,1974,1955,
2019/12/4,14,32,1998,1966,
2019/12/5,14,22,2033,2011,
2019/12/6,22,22,2011,1989,
2019/12/9,20,39,2032,1993,
2019/12/10,9,23,2023,2000,
2019/12/11,15,27,1991,1964,
2019/12/12,13,56,2041,1985,
2019/12/13,21,26,2033,2007,
2019/12/16,16,25,2138,2113,
2019/12/17,24,32,2162,2130,
2019/12/18,22,52,2158,2106,
2019/12/19,9,25,2130,2105,
2019/12/20,15,36,2157,2121,
2019/12/23,21,26,2178,2152,
2019/12/24,21,24,2152,2128,
2019/12/25,15,37,2167,2130,
2019/12/26,10,18,2174,2156,
2019/12/27,27,32,2199,2167,
2019/12/30,39,39,2238,2199,
2019/12/31,29,46,2219,2173,
2020/1/2,28,28,2206,2178,
2020/1/3,12,49,2245,2196,
2020/1/6,41,55,2299,2244,
2020/1/7,22,29,2288,2259,
2020/1/8,63,79,2384,2305,
2020/1/9,48,102,2330,2228,
2020/1/10,14,21,2251,2230,
2020/1/13,64,83,2352,2269,
2020/1/14,34,44,2378,2334,
2020/1/15,33,45,2364,2319,
2020/1/16,19,50,2356,2306,
2020/1/17,20,62,2339,2277,
2020/1/20,27,44,2344,2300,
2020/1/21,29,39,2325,2286,
2020/1/22,46,54,2287,2233,
2020/1/23,21,39,2269,2230,
2020/2/3,33,33,2132,2099,
2020/2/4,70,70,2077,2007,
2020/2/5,42,59,2111,2052,
2020/2/6,25,34,2117,2083,
2020/2/7,19,44,2136,2092,
2020/2/10,33,40,2146,2106,
2020/2/11,40,40,2145,2105,
2020/2/12,20,64,2126,2062,
2020/2/13,31,34,2106,2072,
2020/2/14,24,38,2102,2064,
2020/2/17,21,21,2117,2096,
2020/2/18,22,37,2125,2088,
2020/2/19,27,36,2124,2088,
2020/2/20,19,34,2149,2115,
2020/2/21,18,36,2138,2102,
2020/2/24,61,61,2112,2051,
2020/2/25,23,76,2131,2055,
2020/2/26,24,56,2141,2085,
2020/2/27,25,28,2094,2066,
2020/2/28,48,71,2079,2008,
2020/3/2,42,62,2064,2002,
2020/3/3,27,74,2095,2021,
2020/3/4,25,25,2055,2030,
2020/3/5,17,31,2050,2019,
2020/3/6,23,33,2037,2004,
2020/3/9,0,0,1918,1918,
2020/3/10,105,158,1938,1780,
2020/3/11,24,57,1937,1880,
2020/3/12,70,74,1885,1811,
2020/3/13,41,87,1884,1797,
