day,h1_vol,h1_vibrate,day_vibrate,day_high,day_low,h1_high,h1_low,h1_cost,h1_open,h1_close
2011/10/28,11879,90,90,3220,3130,3220,3130,3175,3199,3137,
2011/10/31,10532,88,88,3198,3110,3198,3110,3154,3136,3128,
2011/11/1,3829,28,29,3154,3125,3154,3126,3140,3140,3146,
2011/11/2,1767,32,32,3127,3095,3127,3095,3111,3112,3112,
2011/11/3,833,14,14,3121,3107,3121,3107,3114,3120,3118,
2011/11/4,1052,13,23,3145,3122,3135,3122,3128.5,3126,3129,
2011/11/7,410,15,21,3142,3121,3142,3127,3134.5,3139,3128,
2011/11/8,284,13,20,3134,3114,3134,3121,3127.5,3130,3128,
2011/11/9,1460,44,120,3128,3008,3128,3084,3106,3125,3087,
2011/11/10,2481,43,55,2975,2920,2975,2932,2953.5,2975,2945,
2011/11/11,4416,70,107,3007,2900,2970,2900,2935,2930,2955,
2011/11/14,4062,64,89,3009,2920,3009,2945,2977,3001,2951,
2011/11/15,5194,50,59,2949,2890,2940,2890,2915,2900,2930,
2011/11/16,2578,27,41,2944,2903,2944,2917,2930.5,2939,2927,
2011/11/17,4302,40,57,2912,2855,2912,2872,2892,2912,2885,
2011/11/18,3112,39,46,2877,2831,2870,2831,2850.5,2831,2863,
2011/11/21,1668,27,27,2879,2852,2879,2852,2865.5,2852,2864,
2011/11/22,1786,26,26,2859,2833,2859,2833,2846,2850,2843,
2011/11/23,1129,12,49,2850,2801,2850,2838,2844,2841,2844,
2011/11/24,2257,41,41,2810,2769,2810,2769,2789.5,2798,2778,
2011/11/25,1619,22,42,2795,2753,2795,2773,2784,2776,2785,
2011/11/28,2784,19,55,2776,2721,2776,2757,2766.5,2757,2769,
2011/11/29,3792,22,44,2766,2722,2748,2726,2737,2744,2734,
2011/11/30,9299,37,37,2788,2751,2788,2751,2769.5,2758,2777,
2011/12/1,5995,68,68,2850,2782,2850,2782,2816,2821,2793,
2011/12/2,3486,35,37,2799,2762,2797,2762,2779.5,2788,2796,
2011/12/5,2994,20,20,2804,2784,2804,2784,2794,2786,2795,
2011/12/6,1483,14,14,2796,2782,2796,2782,2789,2792,2791,
2011/12/7,764,11,11,2804,2793,2804,2793,2798.5,2798,2800,
2011/12/8,652,10,17,2796,2779,2796,2786,2791,2796,2786,
2011/12/9,867,10,10,2785,2775,2785,2775,2780,2782,2780,
2011/12/12,688,16,44,2780,2736,2780,2764,2772,2777,2767,
2011/12/13,1850,22,22,2735,2713,2735,2713,2724,2728,2717,
2011/12/14,1079,12,19,2724,2705,2717,2705,2711,2706,2715,
2011/12/15,1240,19,28,2689,2661,2689,2670,2679.5,2685,2685,
2011/12/16,1040,14,28,2696,2668,2682,2668,2675,2670,2673,
2011/12/19,866,13,21,2689,2668,2689,2676,2682.5,2689,2679,
2011/12/20,1025,15,15,2686,2671,2686,2671,2678.5,2685,2678,
2011/12/21,2026,18,18,2703,2685,2703,2685,2694,2690,2697,
2011/12/22,772,12,13,2691,2678,2690,2678,2684,2690,2682,
2011/12/23,1107,15,15,2702,2687,2702,2687,2694.5,2692,2701,
2011/12/26,622,14,39,2707,2668,2707,2693,2700,2701,2694,
2011/12/27,914,11,14,2679,2665,2676,2665,2670.5,2670,2667,
2011/12/28,2672,49,49,2726,2677,2726,2677,2701.5,2682,2725,
2011/12/29,726,12,17,2718,2701,2713,2701,2707,2708,2711,
2011/12/30,720,14,15,2734,2719,2734,2720,2727,2720,2723,
2012/1/4,695,14,20,2758,2738,2758,2744,2751,2755,2747,
2012/1/5,370,11,34,2773,2739,2750,2739,2744.5,2739,2748,
2012/1/6,4219,58,90,2852,2762,2820,2762,2791,2763,2816,
2012/1/9,3661,27,27,2848,2821,2848,2821,2834.5,2828,2833,
